Model No,Make,Model,Variant,Ex_Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Speedometer,Seating_Capacity,Aux-in_Compatibility,Basic_Warranty,Handbrake,Sale_per_year,warranty,Model_year
302,Jeep,Grand Cherokee,Srt,2059641,6417 cc,8,93.5 litres,Petrol,12.8 km/litre,8,Ventilated Disc,Ventilated Disc,295/45R20,295/45R20,Analog,5,Yes,No Warranty,Automatic,2127,5,2011
303,Jeep,Grand Cherokee,Summit Petrol,3915759,3604 cc,6,93.5 litres,Petrol,23 km/litre,4,Ventilated Disc,Ventilated Disc,265/50 R20,265/50R20,Analog,5,Yes,2 Years Unlimited Kilometres,Automatic,7912,5,2020
304,Tata,Mercedes-Benz E-Class Cabriolet,E400,1830408,2996 cc,6,80 litres,Petrol,4.5 km/litre,4,Ventilated Disc,Ventilated Disc,255/40 R18,255/35 R18,Analog,4,Yes,No Warranty,Automatic,9363,3,2015
305,Bmw,M2 Competition,Coupe,6729375,2979 cc,6,52 litres,Petrol,12.5-12.7 km/litre,7,Ventilated Disc,Ventilated Disc,245/35ZR19,265/35ZR19,Analog,4,Yes,2 years / Unlimited Kms,Automatic,1213,2,2011
306,Porsche,718,Boxster,4910110,1988 cc,4,54 litres,Petrol,9 km/litre,4,Ventilated Disc,Ventilated Disc,235/40 R18,235/40 R18,Analog,2,Yes,No Warranty,Manual,5234,3,2021
307,Porsche,718,Cayman,1202167,1988 cc,4,54 litres,Petrol,9 km/litre,4,Ventilated Disc,Ventilated Disc,235/40 R18,235/40 R18,Analog,2,Yes,No Warranty,Automatic,7668,4,2020
308,Tata,Mercedes-Benz Gls,350 Cdi,1493047,2987 cc,6,100 litres,Diesel,6.5 km/litre,7,Ventilated Disc,Ventilated Disc,275/55 R19,275/55 R19,error,5,No,3rd years /Unlimited Kms (years/distance whichever comes first),Automatic,10526,2,2021
309,Tata,Mercedes-Benz Gls,63 Amg,6737701,5461 cc,8,80 litres,Petrol,9 km/litre,7,Solid Disc,Drum,295 / 40 R21,295 / 40 R21,error,7,No,3rd years /Unlimited Kms (years/distance whichever comes first),Automatic,5892,2,2019
310,Tata,Mercedes-Benz Gls,400 4Matic,8684862,2996 cc,8,80 litres,Petrol,9 km/litre,7,Solid Disc,Drum,295 / 40 R21,295 / 40 R21,Analog,7,Yes,3rd years /Unlimited Kms (years/distance whichever comes first),Automatic,7502,2,2011
311,Tata,Mercedes-Benz Gls,Grand Edition Petrol,2225539,2996 cc,8,80 litres,Petrol,9 km/litre,7,Solid Disc,Drum,295 / 40 R21,295 / 40 R21,Analog,7,Yes,3rd years /Unlimited Kms (years/distance whichever comes first),Automatic,10876,2,2012
312,Tata,Mercedes-Benz Gls,Grand Edition Diesel,6998194,2987 cc,6,100 litres,Diesel,6.5 km/litre,7,Ventilated Disc,Ventilated Disc,275/55 R19,275/55 R19,Analog,5,Yes,3rd years /Unlimited Kms (years/distance whichever comes first),Automatic,2095,5,2012
313,Toyota,Land Cruiser Prado,Vx L,3436053,2982 cc,4,87 litres,Diesel,7 km/litre,5,Ventilated Disc,Ventilated Disc,265/60R18,265/60R18,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,10487,4,2018
314,Lexus,Rx 450H,450Hl Luxury,3062119,3456 cc,6,65 litres,Petrol,18.8 km/litre,4,Ventilated Disc,Ventilated Disc,235/60VR18,235/60VR18,Analog,5,Yes,No Warranty,Automatic,2495,5,2012
315,Audi,Rs5,Coupe,2834220,2894 cc,8,58 litres,Petrol,23 km/litre,7,Ventilated Disc,Ventilated Disc,265/35R19,265/35R19,Analog,4,Yes,2 years / Unlimited Kms,Automatic,4606,4,2019
316,Bmw,7-Series,730Ld Design Pure Excellence,8527578,2993 cc,6,78 litres,Diesel,13.5 km/litre,8,Ventilated Disc,Ventilated Disc,(245/50 R18,(245/50 R18,"Analog, Digital",4,Yes,"3 years/40,000 km",Automatic,5869,5,2020
317,Bmw,7-Series,730Ld Design Pure Excellence Signature,5786381,2993 cc,6,78 litres,Diesel,13.5 km/litre,8,Ventilated Disc,Ventilated Disc,245/45 R19,275/40 R19,Analog,4,Yes,"3 years/40,000 km",Automatic,9105,3,2013
318,Bmw,7-Series,730Ld M Sport,4188123,2993 cc,6,78 litres,Diesel,13.5 km/litre,8,Ventilated Disc,Ventilated Disc,245/45 R19,275/40 R19,Analog,4,Yes,"3 years/40,000 km",Automatic,10992,4,2011
319,Bmw,7-Series,740Li Design Pure Excellence Signature,5350801,2998 cc,6,78 litres,Petrol,23 km/litre,8,Ventilated Disc,Ventilated Disc,245/45 R19,275/40 R19,Analog,4,Yes,No Warranty,Automatic,1398,5,2013
320,Bmw,7-Series,745Le Xdrive,1324788,2998 cc,6,46 litres,Hybrid,23 km/litre,8,Ventilated Disc,Ventilated Disc,(245/50 R18,(245/50 R18,Analog,4,Yes,No Warranty,Automatic,5303,3,2018
321,Bmw,7-Series,M760Li Xdrive,8584110,6592 cc,12,78 litres,Petrol,23 km/litre,8,Ventilated Disc,Ventilated Disc,245/40 R20,275/35 R20,Analog,4,Yes,No Warranty,Automatic,4247,4,2022
322,Audi,Q8,55 Tfsi Quattro Tiptronic,7112859,2995 cc,4,85 litres,Petrol,23 km/litre,8,Ventilated Disc,Ventilated Disc,275/50 R20,275/50 R20,"Analog, Digital",7,Yes,2 Years Warranty,Automatic,8421,4,2012
323,Tata,Mercedes-Benz S-Class,S 350 D,1031976,2987 cc,6,90 litres,Diesel,9 km/litre,7,Ventilated Disc,Ventilated Disc,235/55R17,235/55R17,Analog,5,Yes,3 years / Unlimited Kms,Automatic,5164,5,2014
324,Tata,Mercedes-Benz S-Class,S 450,9109712,2996 cc,6,70 litres,Petrol,5.4 km/litre,7,Ventilated Disc,Ventilated Disc,245/45 R19,245/45 R19,Analog,5,Yes,3 years / Unlimited Kms,Automatic,6329,2,2022
325,Tata,Mercedes-Benz S-Class,Amg S 63 Coupe,8894668,3982 cc,8,80 litres,Petrol,5.4 km/litre,7,Ventilated Disc,Ventilated Disc,255/45ZR19,285/40ZR19,Analog,4,Yes,3 years / Unlimited Kms,Automatic,3616,3,2014
326,Maserati,Levante,Diesel,9588212,2987 cc,6,80 litres,Diesel,5.2 km/litre,6,Ventilated Disc,Ventilated Disc,255/60 ZR18,255/60 ZR18,Analog,4,Yes,No Warranty,Automatic,2599,2,2020
327,Maserati,Levante,Gransport,9179587,2979 cc,6,80 litres,Diesel,5.2 km/litre,6,Ventilated Disc,Ventilated Disc,255/60 ZR18,255/60 ZR18,Analog,4,Yes,No Warranty,Automatic,1815,3,2018
328,Maserati,Levante,Granlusson,9038260,2979 cc,6,80 litres,Diesel,5.2 km/litre,6,Ventilated Disc,Ventilated Disc,255/60 ZR18,255/60 ZR18,Analog,4,Yes,No Warranty,Automatic,7360,2,2018
329,Tata,Mercedes-Benz G-Class,Amg G 63,7558027,3982 cc,8,96 litres,Petrol,23 km/litre,9,Ventilated Disc,Ventilated Disc,285/45R21,285/45R21,Analog,7,Yes,3rd years /Unlimited Kms (years/distance whichever comes first),Automatic,4772,5,2021
330,Tata,Mercedes-Benz G-Class,G 350D,3319550,2925 cc,6,100 litres,Diesel,23 km/litre,9,Ventilated Disc,Ventilated Disc,265/60 R 18,265/60 R 18,Analog,7,Yes,3rd years /Unlimited Kms (years/distance whichever comes first),Automatic,3969,3,2015
331,Audi,A8 L,55 Tfsi Quattro,3318548,2995 cc,8,82 litres,Petrol,23 km/litre,8,Ventilated Disc,Ventilated Disc,255/45 R19,255/45 R19,"Analog, Digital",4,Yes,2 Years Warranty,Automatic,4418,4,2021
332,Maserati,Granturismo,Sport,9235371,4691 cc,8,86 litres,Petrol,4.6 km/litre,6,Ventilated Disc,Ventilated Disc,245/35ZR20,285/35ZR20,Analog,4,Yes,No Warranty,Automatic,1539,5,2016
333,Maserati,Quattroporte,Granlusso,8692412,2987 cc,6,70 litres,Diesel,5.2 km/litre,6,Ventilated Disc,Ventilated Disc,245/45R19,275/40 R19,Analog,4,Yes,No Warranty,Automatic,1309,4,2011
334,Lexus,Lc 500H,Coupe,5222440,3456 cc,6,82 litres,Hybrid,23 km/litre,4,Ventilated Disc,Ventilated Disc,245/40 R21,245/40 R21,Digital,4,Yes,No Warranty,Automatic,3005,5,2019
335,Tata,Mercedes-Benz Maybach,S650,3100984,5980 cc,12,80 litres,Petrol,23 km/litre,7,Ventilated Disc,Ventilated Disc,245/40R20,245/40R20,Analog,4,Yes,No Warranty,Automatic,5538,5,2019
336,Tata,Mercedes-Benz Maybach,S560,6792090,4663 cc,8,80 litres,Petrol,7.81 km/litre,9,Ventilated Disc,Drum,245/45R19,245/45R19,Analog,4,Yes,No Warranty,Automatic,10821,4,2012
337,Porsche,Panamera,Turbo,7324602,3996 cc,8,90 litres,Petrol,7.1 km/litre,7,Ventilated Disc,Ventilated Disc,255/45ZR19,285/40ZR19,Analog,4,Yes,4 years / 80000 Kms (years/distance whichever comes first),Automatic,3727,5,2022
338,Porsche,Panamera,Turbo Executive,9049858,3996 cc,8,90 litres,Petrol,7.1 km/litre,7,Ventilated Disc,Ventilated Disc,255/45ZR19,285/40ZR19,Analog,4,Yes,4 years / 80000 Kms (years/distance whichever comes first),Automatic,8311,5,2020
339,Porsche,Panamera,Turbo Sport Turismo,5108699,3996 cc,8,90 litres,Petrol,7.1 km/litre,7,Ventilated Disc,Ventilated Disc,255/45ZR19,285/40ZR19,Analog,4,Yes,4 years / 80000 Kms (years/distance whichever comes first),Automatic,1684,3,2020
340,Lexus,Lx 450D,V8,5971337,4461 cc,2,93 litres,Diesel,18 km/litre,6,Ventilated Disc,Ventilated Disc,285/60R18,285/60R18,Analog,7,Yes,No Warranty,Automatic,2692,5,2010
341,Tata,Mercedes-Benz S-Class Cabriolet,S500,6659493,4663 cc,8,80 litres,Petrol,5.4 km/litre,4,Ventilated Disc,Ventilated Disc,235/35 R19,235/35 R19,Analog,4,Yes,No Warranty,Automatic,8000,2,2017
342,Audi,R8,V10 Plus,3248344,5204 cc,10,75 litres,Petrol,7.8 km/litre,7,Ventilated Disc,Ventilated Disc,245/35R19,295/35R19,Analog,2,Yes,No Warranty,Manual,4217,3,2018
343,Lamborghini,Urus,V8,3696370,3996 cc,8,75 litres,Petrol,23 km/litre,4,Ventilated Disc,Ventilated Disc,285/45 ZR21,315/40 ZR21,Digital,5,Yes,No Warranty,Automatic,10920,3,2016
344,Bentley,Continental Gt,Coupe,2211535,5998 cc,12,90 litres,Petrol,5.3 km/litre,8,Ventilated Disc,Ventilated Disc,275/40R20,275/40R20,Analog,4,Yes,2 years / Unlimited Kms,Automatic,7102,3,2021
345,Ferrari,Portofino,V8 Convertible,1128710,3855 cc,8,92 litres,Petrol,6 km/litre,7,Ventilated Disc,Ventilated Disc,245/40ZR19,285/40ZR19,Analog,2,Yes,No Warranty,Automatic,1421,5,2016
346,Bentley,Bentayga,W12,2300259,5950 cc,12,85 litres,Petrol,"9,6 km/litre",8,Ventilated Disc,Ventilated Disc,285/45R21,285/45R21,Digital,5,Yes,No Warranty,Automatic,3543,4,2018
347,Bentley,Bentayga,V8,8768482,3996 cc,12,85 litres,Petrol,23 km/litre,8,Ventilated Disc,Ventilated Disc,285/45R21,285/45R21,Digital,5,Yes,No Warranty,Automatic,1738,2,2015
348,Aston Martin,Db 11,V12,7897569,5198 cc,12,80 litres,Petrol,6 km/litre,4,Ventilated Disc,Ventilated Disc,255/40 ZR 20,295/35 ZR 20,Digital,2,Yes,No Warranty,Automatic,8721,3,2020
349,Ferrari,458 Speciale,Coupe,2708206,4497 cc,8,86 litres,Petrol,6 km/litre,7,Ventilated Disc,Ventilated Disc,245/35ZR20,305/30ZR20,Analog,2,Yes,3 years / Unlimited Kms,Automatic,7835,3,2019
350,Tata,Rolls-Royce Ghost Series Ii,6.6,9709299,6593 cc,12,82.5 litres,Petrol,10.5 km/litre,8,Ventilated Disc,Ventilated Disc,255/50R19,255/50R19,Analog,5,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Automatic,4738,2,2019
351,Tata,Rolls-Royce Ghost Series Ii,Ewb,9942491,6592 cc,12,82.5 litres,Petrol,23 km/litre,8,Ventilated Disc,Ventilated Disc,255 / 45 R20,285 / 45 R20,Analog,5,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Automatic,4391,3,2013
352,Tata,Rolls-Royce Wraith,Coupe,4831676,6592 cc,12,83 litres,Petrol,4.7 km/litre,8,Ventilated Disc,Ventilated Disc,255 / 45 R20,285/40 R20,error,4,Yes,No Warranty,Automatic,3324,3,2021
353,Bentley,Mulsanne,Sedan,7328731,6752 cc,8,90 litres,Petrol,6.2 km/litre,8,Ventilated Disc,Ventilated Disc,265/45R20,265/45R20,Analog,4,Yes,2 years / Unlimited Kms,Automatic,3798,4,2020
354,Tata,Rolls-Royce Cullinan,Suv,4255684,6750 cc,12,24 litres,Petrol,23 km/litre,8,Ventilated Disc,Ventilated Disc,error,error,error,5,No,No Warranty,Automatic,4160,5,2021
355,Tata,Rolls-Royce Phantom Coupe,6.8 L,4193892,6749 cc,12,100 litres,Petrol,10.2 km/litre,8,Ventilated Disc,Ventilated Disc,255/50R21,285/45R21,Analog,4,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Automatic,2696,4,2021
356,Bugatti,Chiron,W16,5189084,7993 cc,16,24 litres,Petrol,23 km/litre,7,Ventilated Disc,Ventilated Disc,error,error,Digital,2,Yes,No Warranty,Automatic,5197,3,2016
357,Bugatti,Chiron,Sport,4746202,7993 cc,16,24 litres,Petrol,23 km/litre,7 Dual Clutch,Ventilated Disc,Ventilated Disc,285/30ZR20,285/30ZR20,Digital,2,Yes,No Warranty,Automatic,8704,4,2012
358,Bajaj,Qute (Re60),Qcar,1344822,216 cc,2,24 litres,Petrol,23 km/litre,5,Drum,Drum,R12,R12,Yes,4,No,No Warranty,Manual,4800,5,2011
359,Bajaj,Qute (Re60),Qcar Cng,8102730,216 cc,2,24 litres,CNG,23 km/litre,5,Drum,Drum,R12,R12,Yes,4,No,No Warranty,Manual,5550,4,2015
360,Maruti Suzuki,Alto,Std,4252577,796 cc,3,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,145/80R12,145/80R12,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,10497,4,2015
361,Maruti Suzuki,Alto,Std (O),1352413,796 cc,3,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,145/80R12,145/80R12,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,7055,4,2014
362,Maruti Suzuki,Alto,Lxi,3966506,796 cc,3,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,145/80R12,145/80R12,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,8339,2,2022
363,Maruti Suzuki,Alto,Lxi (O),2859108,796 cc,3,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,145/80R12,145/80R12,Analog,5,No,No Warranty,Manual,8408,5,2012
364,Maruti Suzuki,Alto,Vxi,3952571,796 cc,3,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,145/80R12,145/80R12,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,7881,4,2016
365,Maruti Suzuki,Alto,Lxi Cng (Cng +,8314014,796 cc,3,35 litres,CNG + Petrol,23 km/litre,5,Solid Disc,Drum,145/80R12,145/80R12,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,7762,4,2012
366,Maruti Suzuki,Alto,Lxi (O) Cng (Cng +,6885701,796 cc,3,35 litres,CNG + Petrol,23 km/litre,5,Solid Disc,Drum,145/80R12,145/80R12,Analog,5,No,No Warranty,Manual,1576,3,2017
367,Maruti Suzuki,Alto,Vxi Plus,6779123,796 cc,3,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,145/80R12,145/80R12,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,6089,2,2019
368,Maruti Suzuki,S-Presso,Std,9863839,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,No,No Warranty,Manual,7773,4,2021
369,Maruti Suzuki,S-Presso,Std (O),5471243,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,No,No Warranty,Manual,2844,5,2016
370,Maruti Suzuki,S-Presso,Lxi,1253258,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,No,No Warranty,Manual,4731,3,2016
371,Maruti Suzuki,S-Presso,Lxi (O),2791593,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,No,No Warranty,Manual,1504,3,2021
372,Maruti Suzuki,S-Presso,Vxi,4196480,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,No,No Warranty,Manual,3048,5,2018
373,Maruti Suzuki,S-Presso,Vxi (O),4876960,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,No,No Warranty,Manual,9431,3,2012
374,Maruti Suzuki,S-Presso,Vxi Ags,6740834,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,No,No Warranty,Manual,1947,4,2013
375,Maruti Suzuki,S-Presso,Vxi+,8833221,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,Yes,No Warranty,Manual,10054,4,2012
376,Maruti Suzuki,S-Presso,Vxi (O) Ags,8090134,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Analog,5,No,No Warranty,Manual,6540,4,2021
377,Maruti Suzuki,S-Presso,Vxi+ Ags,1420187,998 cc,3,27 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,145/80 R13,145/80 R13,Digital,5,Yes,No Warranty,Manual,7924,4,2011
378,Maruti Suzuki,Celerio,Lxi,3737809,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/80R13,155/80R13,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,3255,3,2018
379,Maruti Suzuki,Celerio,Vxi,3029539,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,2616,4,2019
380,Maruti Suzuki,Celerio,Vxi At,5702240,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,5025,2,2014
381,Maruti Suzuki,Celerio,Zxi,2900737,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,10057,2,2021
382,Maruti Suzuki,Celerio,Zxi (Opt),2593387,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,8417,5,2015
383,Maruti Suzuki,Celerio,Vxi Cng Mt,2724326,998 cc,3,35 litres,CNG,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,7215,5,2021
384,Maruti Suzuki,Celerio,Zxi Ags,7693958,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,4585,4,2018
385,Maruti Suzuki,Celerio,Lxi Mt (O),5122659,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/80R13,155/80R13,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,3621,3,2019
386,Maruti Suzuki,Celerio,Vxi (O) Mt,5371688,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,7066,5,2018
387,Maruti Suzuki,Celerio,Vxi (O) Ags,3527262,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,2450,4,2016
388,Maruti Suzuki,Celerio,Zxi (O) Ags,2579002,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,5668,3,2011
389,Hyundai,Grand I10 Prime,Era T Crdi,7911397,1120 cc,3,43 litres,Diesel,24 km/litre,5,Solid Disc,Drum,165/65R14,165/65R14,Yes,5,No,No Warranty,Automatic,9780,5,2015
390,Hyundai,Grand I10 Prime,Era T+ Crdi,5528951,1120 cc,3,43 litres,Diesel,24 km/litre,5,Solid Disc,Drum,165/65R14,165/65R14,Yes,5,No,No Warranty,Automatic,1661,5,2011
391,Hyundai,Grand I10 Prime,Era T Vtvt,4934340,1197 cc,4,43 litres,Petrol,18.9 km/litre,5,Solid Disc,Drum,165/65R14,165/65R14,Analog,5,No,2 years / Unlimited Kms,Manual,1121,4,2019
392,Hyundai,Grand I10 Prime,Era T+ Vtvt,7844738,1197 cc,4,43 litres,Petrol,18.9 km/litre,5,Solid Disc,Drum,165/65R14,165/65R14,Analog,5,No,2 years / Unlimited Kms,Manual,4080,4,2017
393,Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,7146734,1197 cc,4,43 litres,CNG,23 km/litre,5,Ventilated Disc,Drum,165/65R14,165/65R14,Analog,5,No,"2 Years / 40,000 Kms (Whichever comes earlier)",Manual,8092,2,2021
394,Hyundai,Grand I10 Prime,Era T Cng Vtvt,9364838,1197 cc,4,43 litres,CNG,23 km/litre,5,Ventilated Disc,Drum,165/65R14,165/65R14,Analog,5,No,"2 Years / 40,000 Kms (Whichever comes earlier)",Manual,8553,3,2020
395,Mahindra,Kuv100 Nxt,K2 6Str,7802319,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,"Analog, Digital",6,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,1238,2,2016
396,Mahindra,Kuv100 Nxt,K2+ 6Str,3540016,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,"Analog, Digital",6,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,10689,5,2015
397,Mahindra,Kuv100 Nxt,K2 D 6Str,9357909,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,6,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,9671,5,2021
398,Mahindra,Kuv100 Nxt,K2+ D 6Str,5247417,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,"Digital, Analog",6,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,7005,4,2018
399,Mahindra,Kuv100 Nxt,K4+ D 6Str,3050639,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,6,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,10487,4,2017
400,Mahindra,Kuv100 Nxt,K4+ 6Str,8932910,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,"Analog, Digital",6,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,7523,4,2015
401,Mahindra,Kuv100 Nxt,K6+ 6Str,4388848,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,6,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,6357,2,2013
402,Mahindra,Kuv100 Nxt,K6+ D 6Str,1186007,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,6,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,6770,2,2019
403,Mahindra,Kuv100 Nxt,K8 6Str,4751262,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,6,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,4265,5,2014
404,Mahindra,Kuv100 Nxt,K8 D 6Str,6073309,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,"Analog, Digital",6,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,1587,3,2015
405,Mahindra,Kuv100 Nxt,K8 6 Str Dual Tone,9325560,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,6,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,1539,5,2017
406,Mahindra,Kuv100 Nxt,K8 D 6 Str Dual Tone,8966218,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,"Analog, Digital",6,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,1481,5,2012
407,Mahindra,Kuv100 Nxt,K4+ 5Str,1792448,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,"Analog, Digital",5,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,10148,4,2020
408,Mahindra,Kuv100 Nxt,K6+ 5Str,5986251,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,5,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,5830,4,2018
409,Mahindra,Kuv100 Nxt,K8 5Str,7292044,1198 cc,3,35 litres,Petrol,15.5 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,5,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,10785,4,2019
410,Mahindra,Kuv100 Nxt,K4+ D 5Str,4416886,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,5,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,10839,4,2017
411,Mahindra,Kuv100 Nxt,K6+ D 5Str,4540573,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,5,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,3160,4,2016
412,Mahindra,Kuv100 Nxt,K8 D 5Str,8596533,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,"Analog, Digital",5,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,8278,3,2020
413,Mahindra,Kuv100 Nxt,K2 D 5Str Taxi,4048267,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,5,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,3778,3,2019
414,Mahindra,Kuv100 Nxt,K2 D 6Str Taxi,6932829,1198 cc,3,35 litres,Diesel,22.25 km/litre,5,Ventilated Disc,Drum,185/65R14,185/65R14,Yes,6,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,10079,4,2015
